user_id,item_id,rating
560,379,2
454,661,4
324,492,4
327,326,3
865,320,3
710,548,4
880,192,5
931,458,4
513,418,4
494,232,4
659,443,2
647,39,4
405,25,3
654,1141,2
793,1250,4
882,344,3
786,350,3
333,1240,2
344,885,3
58,286,5
870,746,3
710,76,3
652,495,2
709,115,4
797,89,3
766,1120,5
266,1109,3
794,422,2
805,272,4
133,325,5
297,142,5
344,940,3
748,641,2
76,526,4
94,462,5
912,603,2
492,249,4
773,88,2
199,469,4
10,733,3
720,172,5
291,143,5
438,299,4
267,140,3
267,635,3
902,442,5
715,177,5
579,124,3
886,420,5
842,49,3
435,46,4
127,654,3
900,731,5
302,672,4
327,21,5
514,325,2
891,27,4
664,209,4
235,1101,4
117,654,5
713,293,4
775,678,4
235,272,1
93,46,5
477,49,3
750,708,4
718,741,4
312,186,4
346,403,4
846,55,1
845,269,3
486,577,3
732,1116,2
84,603,4
64,49,5
931,108,2
550,754,4
83,110,4
233,711,2
388,173,4
233,189,3
298,312,3
623,261,4
404,176,1
405,189,5
424,217,3
166,477,5
225,404,4
499,461,4
150,631,4
436,731,4
326,402,3
733,98,4
534,317,4
300,741,4
660,165,5
504,227,2
167,293,4
103,221,3
41,431,3
921,755,2
662,123,3
327,545,3
804,101,4
847,134,4
550,560,5
806,449,4
568,282,4
143,69,4
275,822,3
129,254,4
61,11,4
12,341,4
534,97,2
893,263,3
319,832,1
281,332,3
115,895,2
487,186,3
372,95,4
435,552,3
549,270,5
404,954,1
931,1453,4
287,175,4
733,497,4
366,301,5
392,570,3
708,440,4
560,221,3
658,653,4
215,65,2
267,79,3
200,395,3
879,434,4
233,1002,2
253,142,4
642,71,4
859,261,4
822,1045,3
458,321,4
473,251,4
223,324,1
101,777,3
879,1467,4
600,14,1
127,227,3
302,150,5
177,301,4
42,68,4
294,120,4
324,646,5
604,136,5
496,264,4
142,325,5
310,274,4
180,331,2
233,242,1
765,88,4
64,422,5
395,124,3
214,221,4
706,381,3
129,664,3
686,312,5
63,430,4
388,22,4
362,741,2
870,1433,3
344,25,3
150,462,5
153,257,3
589,743,4
290,284,4
553,285,4
82,579,4
269,545,4
0,203,5
805,5,2
