user_id,item_id,rating
633,97,3
200,99,5
650,212,3
382,276,3
487,97,5
711,955,1
878,59,3
8,686,3
244,186,3
305,1456,4
409,1328,2
889,187,4
886,733,4
788,186,3
682,1428,3
409,179,5
491,237,3
449,61,5
721,1442,4
406,647,5
511,333,4
14,313,2
302,258,3
286,181,3
308,92,4
618,628,2
421,144,5
643,685,3
536,378,5
606,620,4
642,404,3
193,928,2
106,956,3
22,228,4
704,633,5
782,885,3
440,312,5
838,210,4
759,294,5
573,179,4
619,96,5
543,188,4
299,298,4
717,331,3
943,569,2
577,708,3
244,121,1
561,47,4
199,313,4
204,880,2
277,147,4
883,399,5
379,9,4
301,69,5
405,660,2
545,73,4
65,47,2
338,514,5
717,887,5
397,182,5
617,674,3
932,745,5
617,313,1
655,516,2
295,1297,4
903,276,5
610,673,4
543,1555,3
280,387,4
655,9,3
890,667,2
176,1012,4
825,930,5
385,135,3
655,1141,3
161,127,3
711,151,4
7,92,5
42,568,4
655,513,3
284,313,3
535,921,4
541,99,4
654,591,5
5,432,4
438,15,4
455,144,3
840,45,4
62,704,2
57,8,4
313,69,5
279,283,3
195,181,5
12,402,5
872,288,5
21,301,4
469,238,4
369,900,4
452,432,2
740,271,2
201,1070,5
397,457,1
18,432,4
738,269,2
851,1291,2
118,551,5
151,642,3
630,866,3
716,23,4
549,323,2
835,660,4
499,463,5
374,96,4
186,596,4
49,583,4
312,207,5
235,96,4
648,554,4
389,507,5
189,127,4
774,795,1
49,432,5
790,274,3
363,746,4
189,318,5
805,212,3
18,805,4
79,319,4
252,410,5
276,288,4
268,209,4
416,1089,2
152,313,4
501,294,3
450,401,3
786,429,4
103,127,4
451,880,1
650,708,3
504,392,5
849,568,4
178,184,5
269,237,2
87,709,3
871,1022,3
908,318,5
393,625,4
271,242,4
222,1439,3
90,425,4
838,596,5
796,1228,4
889,127,4
279,41,2
450,144,5
234,119,3
232,209,3
826,665,5
639,283,4
886,237,4
272,238,5
90,499,5
495,655,5
489,301,3
293,658,1
330,527,3
301,47,4
28,294,3
276,281,3
537,507,4
234,648,3
78,323,1
276,196,4
168,281,2
399,95,3
201,29,3
655,1322,2
572,14,4
566,318,4
566,576,2
387,1091,1
289,147,3
43,628,3
932,1205,5
804,629,3
379,705,4
416,275,5
894,905,3
215,182,3
110,340,3
796,1057,2
538,294,3
43,269,5
378,803,3
79,1008,4
110,658,3
332,148,5
442,230,3
749,186,4
136,237,4
429,443,4
747,88,2
523,1041,4
478,283,4
474,126,4
899,658,2
345,736,3
880,54,3
640,313,5
342,1170,3
298,195,4
385,18,5
486,459,2
389,47,4
645,23,5
869,287,2
640,47,4
871,172,5
756,420,4
813,892,1
805,121,3
764,77,4
435,399,3
424,261,3
938,181,5
825,619,4
592,522,5
718,591,4
109,1222,4
567,175,5
796,127,5
52,95,4
673,340,5
534,825,4
793,127,5
261,596,2
622,89,5
378,294,2
671,628,3
679,294,1
62,298,4
65,655,4
188,485,3
738,260,2
37,827,3
311,423,5
413,300,4
172,1172,3
484,274,4
927,8,4
22,878,1
592,95,4
278,313,5
109,162,2
13,665,2
657,9,4
546,898,4
59,567,4
497,622,2
724,948,1
648,1228,3
454,131,3
399,399,3
667,186,4
725,264,1
830,56,2
435,382,3
804,378,4
373,658,4
935,313,5
234,619,2
230,50,5
664,77,3
109,1228,3
265,15,3
293,443,4
360,207,4
297,238,5
21,50,3
660,207,4
484,597,3
663,827,2
119,40,4
843,225,2
10,652,3
796,542,3
450,29,3
94,783,2
901,402,4
393,568,4
445,818,1
472,313,5
601,429,5
613,1157,2
134,339,2
110,849,3
363,741,3
733,147,1
514,1039,5
89,216,5
828,923,3
493,50,5
385,1506,4
396,619,3
543,709,3
200,96,5
459,8,5
16,294,4
578,1098,2
380,356,2
145,939,4
81,151,2
492,45,3
930,871,3
938,1016,3
889,135,2
764,866,4
187,241,3
234,478,3
332,934,2
181,1059,1
606,963,5
808,340,5
338,486,3
320,284,4
512,11,5
53,284,2
664,414,5
896,135,3
554,735,3
385,1012,3
806,45,4
297,659,4
95,1222,2
434,928,5
